approve_estimate,disapprove_estimate,date
53.546009,39.902223,2021-03-06
53.546009,39.902223,2021-03-05
53.641803,39.686254,2021-03-04
53.872419,39.434674,2021-03-03
55.02312,37.903046,2021-03-02
54.867312,37.912249,2021-03-01
54.808117,38.983815,2021-02-28
54.808117,38.983815,2021-02-27
54.808117,38.983815,2021-02-26
54.913839,38.852384,2021-02-25
54.76863,38.753878,2021-02-24
54.845639,38.720261,2021-02-23
55.287468,38.586091,2021-02-22
54.844434,38.754943,2021-02-21
54.844434,38.754943,2021-02-20
54.844434,38.754943,2021-02-19
55.451156,38.33905,2021-02-18
55.484934,38.125835,2021-02-17
55.490819,37.523365,2021-02-16
54.93626,37.584914,2021-02-15
54.83609,37.572594,2021-02-14
54.83609,37.572594,2021-02-13
54.83609,37.572594,2021-02-12
54.526538,37.389629,2021-02-11
54.598591,37.221876,2021-02-10
54.618043,36.591823,2021-02-09
54.16811,36.77631,2021-02-08
54.109605,36.430653,2021-02-07
54.109605,36.430653,2021-02-06
54.109605,36.430653,2021-02-05
54.267424,36.173425,2021-02-04
54.283461,36.02439,2021-02-03
54.584754,35.380808,2021-02-02
54.806276,34.998742,2021-02-01
55.142022,35.632336,2021-01-31
55.142022,35.632336,2021-01-30
55.142022,35.632336,2021-01-29
55.100066,35.737157,2021-01-28
54.449358,36.011902,2021-01-27
55.25678,37.59433,2021-01-26
55.4547,37.35875,2021-01-25
53.57021,36.14697,2021-01-24
53.57021,36.14697,2021-01-23
